Label	Value
Acinonyx_jubatus	1.0
Arvicanthis_niloticus	0.5
Arvicola_amphibius	0.5
Camelus_dromedarius	1.0
Camelus_ferus	1.0
Castor_canadensis	1.0
Cricetulus_griseus	0.5
Dipodomys_ordii	1.0
Enhydra_lutris_kenyoni	1.0
Eptesicus_fuscus	1.0
Equus_asinus	1.0
Equus_caballus	1.0
Equus_quagga	1.0
Felis_catus	1.0
Galeopterus_variegatus	1.0
Grammomys_surdaster	0.5
Ictidomys_tridecemlineatus	1.0
Jaculus_jaculus	1.0
Lemur_catta	1.0
Leopardus_geoffroyi	1.0
Lynx_canadensis	1.0
Lynx_rufus	1.0
Marmota_flaviventris	1.0
Marmota_monax	1.0
Mastomys_coucha	0.5
Meriones_unguiculatus	0.5
Mesocricetus_auratus	0.5
Microcebus_murinus	1.0
Microtus_ochrogaster	0.5
Microtus_oregoni	0.5
Mus_caroli	0.5
Mus_musculus	0.5
Mus_pahari	0.5
Myotis_brandtii	1.0
Myotis_davidii	1.0
Myotis_lucifugus	1.0
Myotis_myotis	1.0
Nannospalax_galili	0.5
Neosciurus_carolinensis	1.0
Ochotona_curzoniae	1.0
Ochotona_princeps	1.0
Onychomys_torridus	0.5
Otolemur_garnettii	1.0
Panthera_leo	1.0
Panthera_tigris	1.0
Peromyscus_leucopus	0.5
Peromyscus_maniculatus_bairdii	0.5
Phacochoerus_africanus	1.0
Prionailurus_bengalensis	1.0
Prionailurus_viverrinus	1.0
Propithecus_coquereli	1.0
Ranitomeya_imitator	0.5
Rattus_norvegicus	0.5
Rattus_rattus	0.5
Urocitellus_parryii	1.0
