Seq_1	Acinonyx_jubatus
Seq_2	Arvicanthis_niloticus
Seq_3	Arvicola_amphibius
Seq_4	Camelus_dromedarius
Seq_5	Camelus_ferus
Seq_6	Castor_canadensis
Seq_7	Cricetulus_griseus
Seq_8	Dipodomys_ordii
Seq_9	Enhydra_lutris_kenyoni
Seq_10	Eptesicus_fuscus
Seq_11	Equus_asinus
Seq_12	Equus_caballus
Seq_13	Equus_quagga
Seq_14	Felis_catus
Seq_15	Galeopterus_variegatus
Seq_16	Grammomys_surdaster
Seq_17	Ictidomys_tridecemlineatus
Seq_18	Jaculus_jaculus
Seq_19	Lemur_catta
Seq_20	Leopardus_geoffroyi
Seq_21	Lynx_canadensis
Seq_22	Lynx_rufus
Seq_23	Marmota_flaviventris
Seq_24	Marmota_monax
Seq_25	Mastomys_coucha
Seq_26	Meriones_unguiculatus
Seq_27	Mesocricetus_auratus
Seq_28	Microcebus_murinus
Seq_29	Microtus_ochrogaster
Seq_30	Microtus_oregoni
Seq_31	Mus_caroli
Seq_32	Mus_musculus
Seq_33	Mus_pahari
Seq_34	Myotis_brandtii
Seq_35	Myotis_davidii
Seq_36	Myotis_lucifugus
Seq_37	Myotis_myotis
Seq_38	Nannospalax_galili
Seq_39	Neosciurus_carolinensis
Seq_40	Ochotona_curzoniae
Seq_41	Ochotona_princeps
Seq_42	Onychomys_torridus
Seq_43	Otolemur_garnettii
Seq_44	Panthera_leo
Seq_45	Panthera_tigris
Seq_46	Peromyscus_leucopus
Seq_47	Peromyscus_maniculatus_bairdii
Seq_48	Phacochoerus_africanus
Seq_49	Prionailurus_bengalensis
Seq_50	Prionailurus_viverrinus
Seq_51	Propithecus_coquereli
Seq_52	Ranitomeya_imitator
Seq_53	Rattus_norvegicus
Seq_54	Rattus_rattus
Seq_55	Urocitellus_parryii
